counter,timestamp,deadtime,height_1,height_2,time_difference
1130.0,1751874194.8974822,0.01051913415617441,1357.0,529.0,73.0
1136.0,1751874194.9892893,0.008646869276954818,1372.0,1333.0,73.0
1141.0,1751874195.0331197,0.03263020707631414,1400.0,879.0,74.0
1142.0,1751874195.0614755,0.005533364167682799,1366.0,755.0,74.0
1145.0,1751874195.096806,0.055325321176958146,1353.0,919.0,73.0
1152.0,1751874195.1428683,0.01875641804807511,1373.0,233.0,73.0
1154.0,1751874195.1578856,0.2187910643889619,693.0,3346.0,74.0
1156.0,1751874195.182998,0.007906020216130221,1473.0,860.0,73.0
1167.0,1751874195.2828517,0.008062714514917038,713.0,803.0,75.0
1174.0,1751874195.3672187,0.007020974049057945,1384.0,608.0,73.0
1178.0,1751874195.403477,0.3712784588441331,1418.0,759.0,73.0
1184.0,1751874195.4710531,0.009758838572067476,674.0,1334.0,74.0
1188.0,1751874195.535557,0.02038369304556355,1356.0,200.0,72.0
1194.0,1751874195.6104438,0.007896338533491367,1422.0,2588.0,73.0
1195.0,1751874195.622486,0.009074158460959325,1404.0,885.0,73.0
1197.0,1751874195.631856,0.03326944140197152,860.0,477.0,73.0
1201.0,1751874195.6429758,0.07862190812720848,1350.0,635.0,74.0
1205.0,1751874195.6670358,0.047701784868109304,335.0,1334.0,73.0
1212.0,1751874195.7841578,0.007728200641586468,1387.0,1583.0,74.0
1214.0,1751874195.7929444,0.01715464616775944,431.0,616.0,74.0
1215.0,1751874195.8092425,0.011324003677382637,1410.0,2630.0,74.0
1217.0,1751874195.847211,0.02797085201793722,347.0,1335.0,74.0
1223.0,1751874195.9594707,0.0030435673085624742,559.0,763.0,74.0
1230.0,1751874196.0230346,0.018955859287474792,1402.0,836.0,74.0
1237.0,1751874196.086228,0.018821315139395365,1329.0,585.0,74.0
1243.0,1751874196.1401906,0.003247236869544493,1335.0,873.0,73.0
1247.0,1751874196.1834872,0.011577730144404332,1384.0,325.0,73.0
1251.0,1751874196.2014782,0.011868750120421571,249.0,839.0,75.0
1254.0,1751874196.2477622,0.006522583149993529,570.0,1339.0,74.0
1257.0,1751874196.2791133,0.00702819595774765,1639.0,576.0,74.0
1259.0,1751874196.3075519,0.004883593651328253,368.0,419.0,73.0
1260.0,1751874196.312689,0.009577649037563073,1201.0,582.0,74.0
1261.0,1751874196.3311033,0.00470326773739227,1447.0,581.0,73.0
1265.0,1751874196.356762,0.004880374371134279,1377.0,1333.0,74.0
1276.0,1751874196.4995124,0.01666225087579852,509.0,732.0,74.0
1284.0,1751874196.6099184,0.010134928872336529,1415.0,1332.0,74.0
1300.0,1751874196.7694664,0.006084927264399904,1438.0,1202.0,75.0
1307.0,1751874196.8625877,0.009018936557184123,800.0,479.0,74.0
1318.0,1751874197.0549927,0.019058574804128838,281.0,442.0,73.0
1320.0,1751874197.0580266,0.13277052954719878,1437.0,392.0,73.0
1325.0,1751874197.1454077,0.20709382151029748,1440.0,402.0,73.0
1327.0,1751874197.149846,0.2642369020501139,522.0,357.0,73.0
1331.0,1751874197.1996183,0.007167421430760325,410.0,630.0,74.0
1335.0,1751874197.2402487,0.03118411529626483,711.0,1331.0,74.0
1344.0,1751874197.386672,0.0034271093243638242,1307.0,287.0,72.0
1354.0,1751874197.5359821,0.003685825137598123,552.0,331.0,72.0
1359.0,1751874197.6217916,0.0031663369715661674,1366.0,1332.0,73.0
1360.0,1751874197.6494422,0.005186123243653029,1337.0,447.0,72.0
1362.0,1751874197.6717608,0.006787809343512971,1373.0,328.0,72.0
1363.0,1751874197.702009,0.006112719491472088,1347.0,732.0,75.0
1365.0,1751874197.7229362,0.006181556579893954,426.0,325.0,73.0
1366.0,1751874197.730719,0.004331664157783171,314.0,578.0,74.0
1370.0,1751874197.7951434,0.007590818724019519,582.0,798.0,74.0
1372.0,1751874197.8325634,0.03418349273822175,1348.0,489.0,73.0
1377.0,1751874197.8654778,0.018747337025990626,1348.0,533.0,73.0
1378.0,1751874197.8732631,0.023483839728846385,617.0,1991.0,74.0
1380.0,1751874197.8855245,0.01300790403940104,502.0,290.0,72.0
1389.0,1751874198.0384815,0.01048951048951049,1365.0,801.0,73.0
1400.0,1751874198.2603278,0.007444674155472498,705.0,787.0,74.0
1412.0,1751874198.4056077,0.020838913590828734,1455.0,501.0,73.0
1422.0,1751874198.4738262,0.02299186801614696,1214.0,807.0,74.0
1427.0,1751874198.5527005,0.005520810272304627,1358.0,1334.0,75.0
1429.0,1751874198.5584896,0.025676115998696646,1289.0,909.0,74.0
1435.0,1751874198.6055794,0.017675817976682964,293.0,782.0,75.0
1440.0,1751874198.6425905,0.02742330769880842,1458.0,815.0,74.0
1443.0,1751874198.6518672,0.3078947368421053,1392.0,688.0,74.0
1446.0,1751874198.6926708,0.013528007473272671,1276.0,895.0,74.0
1451.0,1751874198.7504268,0.029262554223954122,1408.0,2557.0,74.0
1453.0,1751874198.7946239,0.004804650902073207,1347.0,218.0,72.0
1456.0,1751874198.805396,0.014771470367859564,477.0,881.0,74.0
1462.0,1751874198.9586544,0.0021574635732599587,1375.0,587.0,73.0
1465.0,1751874199.0000746,0.02418090902306142,1352.0,1335.0,74.0
1466.0,1751874199.000546,0.24800910125142206,539.0,813.0,73.0
1468.0,1751874199.0285027,0.020502007011838828,1370.0,780.0,74.0
1475.0,1751874199.0672984,0.02646915978630403,1418.0,1336.0,73.0
1479.0,1751874199.1126375,0.017614146577329556,346.0,2215.0,74.0
1482.0,1751874199.1458595,0.023871871384203155,570.0,337.0,115.0
1489.0,1751874199.2142766,0.026349940754951194,956.0,663.0,74.0
1503.0,1751874199.3895497,0.0028035538005923,397.0,437.0,74.0
1505.0,1751874199.4422708,0.0024488603156049096,2366.0,515.0,73.0
1511.0,1751874199.503667,0.0710880195599022,785.0,923.0,298.0
1516.0,1751874199.5500436,0.024169879726074695,1342.0,655.0,72.0
1518.0,1751874199.6116524,0.010121942732537909,788.0,666.0,74.0
1524.0,1751874199.7654395,0.005764423812681732,1381.0,1338.0,74.0
1529.0,1751874199.8395855,0.0063877282353614565,1542.0,212.0,71.0
1531.0,1751874199.877506,0.005228862047043865,1366.0,1333.0,73.0
1532.0,1751874199.8871245,0.005664444333049276,631.0,602.0,74.0
1535.0,1751874199.9588208,0.0028912566257964342,446.0,469.0,74.0
1536.0,1751874199.9624815,0.041636801980843165,1155.0,742.0,74.0
1547.0,1751874200.058018,0.23947836395969177,449.0,264.0,73.0
1549.0,1751874200.083573,0.008290076335877862,729.0,817.0,74.0
1552.0,1751874200.1131513,0.015873015873015872,688.0,418.0,72.0
1558.0,1751874200.1558256,0.004587399236317353,1350.0,623.0,74.0
1561.0,1751874200.1643972,0.19108453384071758,839.0,1337.0,74.0
1562.0,1751874200.1690524,0.020499479708636838,1358.0,780.0,73.0
1576.0,1751874200.2818244,0.01586989052532094,1391.0,297.0,73.0
1584.0,1751874200.4102738,0.00581973613908183,1402.0,590.0,73.0
1585.0,1751874200.4124527,0.02737668938431327,566.0,873.0,73.0
1587.0,1751874200.4483974,0.00523097939260666,1329.0,417.0,72.0
1590.0,1751874200.4858367,0.01487703673717235,338.0,585.0,73.0
1591.0,1751874200.5097153,0.0038433363772289847,1249.0,759.0,75.0
1592.0,1751874200.5207305,0.0029171020550330896,1390.0,424.0,73.0
1593.0,1751874200.5252452,0.03607296577167452,752.0,692.0,73.0
1594.0,1751874200.525666,0.19679633867276888,323.0,280.0,73.0
1603.0,1751874200.6191192,0.0022722199646289186,1429.0,1335.0,74.0
1604.0,1751874200.6328995,0.0040256112161857335,796.0,535.0,73.0
1606.0,1751874200.6472666,0.019418206450156173,1308.0,208.0,73.0
1610.0,1751874200.6971433,0.06705143439144458,1403.0,663.0,74.0
1615.0,1751874200.7317295,0.023202684372099665,408.0,918.0,74.0
1626.0,1751874200.8056433,0.024865634915495694,1360.0,628.0,73.0
1627.0,1751874200.815814,0.01376639133883989,1341.0,835.0,75.0
1629.0,1751874200.846247,0.013849615059134348,1409.0,437.0,79.0
1630.0,1751874200.8476048,0.03265700483091787,1397.0,413.0,73.0
1632.0,1751874200.8712213,0.01900380076015203,332.0,714.0,73.0
1637.0,1751874200.9809754,0.036796855809383446,212.0,1335.0,74.0
1639.0,1751874200.9887784,0.018317254854072536,232.0,222.0,73.0
1651.0,1751874201.1675138,0.004632441211778829,452.0,1332.0,73.0
1652.0,1751874201.168162,0.0919452887537994,1338.0,1334.0,73.0
1656.0,1751874201.205871,0.004417797412432944,739.0,556.0,78.0
1664.0,1751874201.3028564,0.04209231933409005,1381.0,1337.0,74.0
1668.0,1751874201.350632,0.009304143862392493,1331.0,773.0,73.0
1670.0,1751874201.358689,0.01100762066045724,1375.0,787.0,73.0
1673.0,1751874201.3807595,0.01913265306122449,444.0,565.0,73.0
1684.0,1751874201.4727285,0.004361651236739174,540.0,743.0,73.0
1687.0,1751874201.494039,0.01587116076854752,1400.0,1330.0,73.0
1690.0,1751874201.5128925,0.05436374601533557,561.0,494.0,73.0
1692.0,1751874201.5266118,0.008339839591170416,1344.0,480.0,74.0
1693.0,1751874201.5302093,0.026115922718187874,1395.0,446.0,72.0
1694.0,1751874201.5645618,0.005818056035973711,569.0,900.0,73.0
1696.0,1751874201.5883286,0.009253339223230996,1147.0,505.0,72.0
1698.0,1751874201.5990117,0.02108887454271573,1370.0,715.0,73.0
1701.0,1751874201.6949327,0.0034625732428747802,1370.0,459.0,74.0
1702.0,1751874201.6954079,0.2633986928104575,1380.0,324.0,73.0
1715.0,1751874201.828488,0.048862868723260525,1330.0,495.0,73.0
1719.0,1751874201.867193,0.0065561369223980336,1384.0,1270.0,74.0
1734.0,1751874202.0743413,0.019363979848866498,1433.0,460.0,73.0
1738.0,1751874202.1336415,0.05220154334997731,1406.0,537.0,73.0
1739.0,1751874202.1605115,0.003914015904572564,1369.0,647.0,74.0
1752.0,1751874202.256184,0.12727875372886974,1394.0,363.0,73.0
